Dataset Order;Sepal length;Sepal width;Petal length;Petal width;Species
75;6.4;2.9;4.3;1.3;I.ÿversicolor
76;6.6;3.0;4.4;1.4;I.ÿversicolor
77;6.8;2.8;4.8;1.4;I.ÿversicolor
78;6.7;3.0;5.0;1.7;I.ÿversicolor
79;6.0;2.9;4.5;1.5;I.ÿversicolor
80;5.7;2.6;3.5;1.0;I.ÿversicolor
81;5.5;2.4;3.8;1.1;I.ÿversicolor
82;5.5;2.4;3.7;1.0;I.ÿversicolor
83;5.8;2.7;3.9;1.2;I.ÿversicolor
84;6.0;2.7;5.1;1.6;I.ÿversicolor
85;5.4;3.0;4.5;1.5;I.ÿversicolor
86;6.0;3.4;4.5;1.6;I.ÿversicolor
87;6.7;3.1;4.7;1.5;I.ÿversicolor
88;6.3;2.3;4.4;1.3;I.ÿversicolor
89;5.6;3.0;4.1;1.3;I.ÿversicolor
90;5.5;2.5;4.0;1.3;I.ÿversicolor
91;5.5;2.6;4.4;1.2;I.ÿversicolor
92;6.1;3.0;4.6;1.4;I.ÿversicolor
93;5.8;2.6;4.0;1.2;I.ÿversicolor
94;5.0;2.3;3.3;1.0;I.ÿversicolor
95;5.6;2.7;4.2;1.3;I.ÿversicolor
96;5.7;3.0;4.2;1.2;I.ÿversicolor
97;5.7;2.9;4.2;1.3;I.ÿversicolor
98;6.2;2.9;4.3;1.3;I.ÿversicolor
99;5.1;2.5;3.0;1.1;I.ÿversicolor
100;5.7;2.8;4.1;1.3;I.ÿversicolor
101;6.3;3.3;6.0;2.5;I.ÿvirginica
102;5.8;2.7;5.1;1.9;I.ÿvirginica
103;7.1;3.0;5.9;2.1;I.ÿvirginica
104;6.3;2.9;5.6;1.8;I.ÿvirginica
105;6.5;3.0;5.8;2.2;I.ÿvirginica
106;7.6;3.0;6.6;2.1;I.ÿvirginica
107;4.9;2.5;4.5;1.7;I.ÿvirginica
108;7.3;2.9;6.3;1.8;I.ÿvirginica
109;6.7;2.5;5.8;1.8;I.ÿvirginica
110;7.2;3.6;6.1;2.5;I.ÿvirginica
111;6.5;3.2;5.1;2.0;I.ÿvirginica
112;6.4;2.7;5.3;1.9;I.ÿvirginica
113;6.8;3.0;5.5;2.1;I.ÿvirginica
114;5.7;2.5;5.0;2.0;I.ÿvirginica
115;5.8;2.8;5.1;2.4;I.ÿvirginica
116;6.4;3.2;5.3;2.3;I.ÿvirginica
117;6.5;3.0;5.5;1.8;I.ÿvirginica
118;7.7;3.8;6.7;2.2;I.ÿvirginica
119;7.7;2.6;6.9;2.3;I.ÿvirginica
120;6.0;2.2;5.0;1.5;I.ÿvirginica
121;6.9;3.2;5.7;2.3;I.ÿvirginica
122;5.6;2.8;4.9;2.0;I.ÿvirginica
123;7.7;2.8;6.7;2.0;I.ÿvirginica
124;6.3;2.7;4.9;1.8;I.ÿvirginica
125;6.7;3.3;5.7;2.1;I.ÿvirginica
126;7.2;3.2;6.0;1.8;I.ÿvirginica
127;6.2;2.8;4.8;1.8;I.ÿvirginica
128;6.1;3.0;4.9;1.8;I.ÿvirginica
129;6.4;2.8;5.6;2.1;I.ÿvirginica
130;7.2;3.0;5.8;1.6;I.ÿvirginica
131;7.4;2.8;6.1;1.9;I.ÿvirginica
132;7.9;3.8;6.4;2.0;I.ÿvirginica
133;6.4;2.8;5.6;2.2;I.ÿvirginica
134;6.3;2.8;5.1;1.5;I.ÿvirginica
135;6.1;2.6;5.6;1.4;I.ÿvirginica
136;7.7;3.0;6.1;2.3;I.ÿvirginica
137;6.3;3.4;5.6;2.4;I.ÿvirginica
138;6.4;3.1;5.5;1.8;I.ÿvirginica
139;6.0;3.0;4.8;1.8;I.ÿvirginica
140;6.9;3.1;5.4;2.1;I.ÿvirginica
141;6.7;3.1;5.6;2.4;I.ÿvirginica
142;6.9;3.1;5.1;2.3;I.ÿvirginica
143;5.8;2.7;5.1;1.9;I.ÿvirginica
144;6.8;3.2;5.9;2.3;I.ÿvirginica
145;6.7;3.3;5.7;2.5;I.ÿvirginica
146;6.7;3.0;5.2;2.3;I.ÿvirginica
147;6.3;2.5;5.0;1.9;I.ÿvirginica
148;6.5;3.0;5.2;2.0;I.ÿvirginica
149;6.2;3.4;5.4;2.3;I.ÿvirginica
150;5.9;3.0;5.1;1.8;I.ÿvirginica
